table,pdf_page,printed_page,num,footnotes,characteristic,condition,unit,f8_min,f8_max,f10_min,f10_max,f12_5_min,f12_5_max,f16_67_min,f16_67_max,f16_min,f16_max,f20_min,f20_max,note
mc68ec000-read-write,175,10-24,18,1,Clock High to R/W High (Read),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,35,0,35,0,35,0,30,,,0,25,
mc68ec000-read-write,175,10-24,20,1,Clock High to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,35,0,35,0,35,0,30,,,0,25,
mc68ec000-read-write,175,10-24,20A,"2, 6",AS Asserted to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,10,,10,,10,,10,,,,10,"10.10 gives the same specification as ""AS Asserted to R/W Valid (Write)"""
mc68ec000-read-write,175,10-24,21,2,Address Valid to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,,0,,0,,0,,,,0,,
mc68ec000-read-write,175,10-24,21A,2,FC Valid to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,60,,50,,30,,30,,,,25,,
mc68ec000-read-write,175,10-24,22,2,R/W Low to DS Asserted (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,80,,50,,30,,30,,,,25,,
mc68ec000-read-write,175,10-24,23,,Clock Low to Data-Out Valid (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,35,,35,,35,,30,,,,25,
mc68ec000-read-write,175,10-24,25,2,"AS, DS Negated to Data-Out Invalid (Write)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,40,,30,,20,,15,,,,10,,
mc68ec000-read-write,175,10-24,26,2,Data-Out Valid to DS Asserted (Write),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,40,,30,,20,,15,,,,10,,
mc68ec000-read-write,175,10-24,27,5,Data-In Valid to Clock Low (Setup Time on Read),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,5,,5,,5,,5,,,,5,,
mc68ec000-read-write,175,10-24,28,2,"AS, DS Negated to DTACK Negated (Asynchronous Hold)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,110,0,110,0,110,0,110,,,0,95,
mc68ec000-read-write,175,10-24,28A,,Clock High to DTACK Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,110,0,110,0,110,0,110,,,0,95,"10.10 numbers a different characteristic 28A, ""AS, DS Negated to Data-In High Impedance"""
mc68ec000-read-write,176,10-25,29,,"AS, DS Negated to Data-In Invalid (Hold Time on Read)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,,0,,0,,0,,,,0,,
mc68ec000-read-write,176,10-25,29A,,"AS, DS Negated to Data-In High Impedance",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,187,,150,,120,,90,,,,75,
mc68ec000-read-write,176,10-25,30,,"AS, DS Negated to BERR Negated",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,,0,,0,,0,,,,0,,
mc68ec000-read-write,176,10-25,31,"2, 5",DTACK Asserted to Data-In Valid (Setup Time),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,90,,65,,50,,50,,,,42,
mc68ec000-read-write,176,10-25,32,,HALT and RESET Input Transition Time,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,150,0,150,0,150,0,150,,,0,150,
mc68ec000-read-write,176,10-25,33,,Clock High to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,35,,35,,35,0,30,,,0,25,
mc68ec000-read-write,176,10-25,34,,Clock High to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,35,,35,,35,0,30,,,0,25,
mc68ec000-read-write,176,10-25,35,,BR Asserted to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,,,1.5,3.5,
mc68ec000-read-write,176,10-25,36,7,BR Negated to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,,,1.5,3.5,
mc68ec000-read-write,176,10-25,38,,"BG Asserted to Control, Address, Data Bus High Impedance (AS Negated)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,55,,55,,55,,50,,,,42,
mc68ec000-read-write,176,10-25,39,,BG Width Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,,1.5,,1.5,,1.5,,,,1.5,,the first four maximum cells are blank rather than dashed
mc68ec000-read-write,176,10-25,44,,"AS, DS Negated to VPA Negated",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,55,0,55,0,55,0,50,,,0,42,VPA is an MC68000 signal; the MC68EC000 has AVEC in its place
mc68ec000-read-write,176,10-25,47,5,Asynchronous Input Setup Time,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,5,,5,,5,,5,,,,5,,
mc68ec000-read-write,176,10-25,48,"2, 3",BERR Asserted to DTACK Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,20,,20,,20,,10,,,,10,,
mc68ec000-read-write,176,10-25,53,,Data-Out Hold from Clock High,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,0,,0,,0,,0,,,,0,,
mc68ec000-read-write,176,10-25,55,,R/W Asserted to Data Bus Impedance Change,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,30,,20,,10,,0,,,,0,,
mc68ec000-read-write,176,10-25,56,4,HALT/RESET Pulse Width,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,10,,10,,10,,10,,,,10,,
mc68ec000-read-write,176,10-25,58,7,"BR Negated to AS, DS, R/W Driven",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,,1.5,,1.5,,1.5,,,,1.5,,
mc68ec000-read-write,176,10-25,58A,7,"BR Negated to FC, VMA Driven",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1,,1,,1,,1,,,,1,,
mc68ec000-bus-arbitration,179,10-28,7,,"Clock High to Address, Data Bus High Impedance (Maximum)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,55,,55,,55,,50,,,,42,
mc68ec000-bus-arbitration,179,10-28,16,,Clock High to Control Bus High Impedance,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,55,,55,,55,,50,,,,42,
mc68ec000-bus-arbitration,179,10-28,33,,Clock High to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,35,,35,,35,0,30,,,0,25,
mc68ec000-bus-arbitration,179,10-28,34,,Clock High to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,35,,35,,35,0,30,,,0,25,
mc68ec000-bus-arbitration,179,10-28,35,,BR Asserted to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,,,1.5,3.5,
mc68ec000-bus-arbitration,179,10-28,36,7,BR Negated to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,,,1.5,3.5,SOURCE ERROR: the marker is 7 but this table defines only notes 1 and 2
mc68ec000-bus-arbitration,179,10-28,38,,"BG Asserted to Control, Address, Data Bus High Impedance (AS Negated)",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,,55,,55,,55,,50,,,,42,
mc68ec000-bus-arbitration,179,10-28,39,,BG Width Negated,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,,1.5,,1.5,,1.5,,,,1.5,,
mc68ec000-bus-arbitration,179,10-28,47,,Asynchronous Input Setup Time,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,ns,5,,5,,5,,5,,,,5,,
mc68ec000-bus-arbitration,179,10-28,58,1,"BR Negated to AS, DS, R/W Driven",VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1.5,,1.5,,1.5,,1.5,,,,1.5,,
mc68ec000-bus-arbitration,179,10-28,58A,1,BR Negated to FC Driven,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68EC000 only,Clks,1,,1,,1,,1,,,,1,,"10.14 gives the same specification as ""BR Negated to FC, VMA Driven"""
